no,x_경도,y_위도,종명,종명_code,고도_meter
1,126.9867861,35.13883611,왕다람쥐꼬리,A,539
2,126.9867861,35.13883611,왕다람쥐꼬리,A,539
3,126.9867861,35.13883611,왕다람쥐꼬리,A,539
4,126.9867861,35.13883611,왕다람쥐꼬리,A,539
5,126.9868417,35.13608056,왕다람쥐꼬리,A,651
6,126.9868361,35.13613889,왕다람쥐꼬리,A,652
7,126.9868361,35.13613889,왕다람쥐꼬리,A,652
8,126.9868111,35.13615833,왕다람쥐꼬리,A,652
9,126.9867972,35.13615278,왕다람쥐꼬리,A,655
10,126.9867972,35.13615278,왕다람쥐꼬리,A,655
11,126.9865361,35.13616111,왕다람쥐꼬리,A,658
12,126.9868417,35.13615,왕다람쥐꼬리,A,661
13,126.9869028,35.13567778,왕다람쥐꼬리,A,662
14,126.9868639,35.13615,왕다람쥐꼬리,A,663
15,126.9863722,35.13586389,왕다람쥐꼬리,A,665
16,126.9865083,35.13608333,왕다람쥐꼬리,A,666
17,126.9870222,35.13581389,왕다람쥐꼬리,A,667
18,126.9857667,35.13628889,왕다람쥐꼬리,A,671
19,126.9864972,35.13603056,왕다람쥐꼬리,A,672
20,126.9865,35.13604167,왕다람쥐꼬리,A,673
21,126.9869083,35.13570833,왕다람쥐꼬리,A,675
22,126.9861611,35.13613333,왕다람쥐꼬리,A,676
23,126.9869083,35.13570556,왕다람쥐꼬리,A,676
24,126.9869083,35.1357,왕다람쥐꼬리,A,677
25,126.9864389,35.13599167,왕다람쥐꼬리,A,678
26,126.9863222,35.13601389,왕다람쥐꼬리,A,683
27,126.9864056,35.13588056,왕다람쥐꼬리,A,683
28,126.9864944,35.13592222,왕다람쥐꼬리,A,684
29,126.986425,35.13601667,왕다람쥐꼬리,A,690
30,126.9599167,35.11786111,백양꽃,B,145
31,126.9587222,35.12230556,백양꽃,B ,151
32,126.9646667,35.11697222,백양꽃,B,174
33,126.9649444,35.11694444,백양꽃,B ,183
34,126.9649722,35.11861111,백양꽃,B,184
35,126.9652778,35.11691667,백양꽃,B ,185
36,126.9708056,35.10697222,백양꽃,B,190
37,126.9678056,35.11663889,백양꽃,B ,199
38,126.96825,35.11661111,백양꽃,B,200
39,126.9678611,35.11663889,백양꽃,B ,201
40,126.9684444,35.11666667,백양꽃,B,201
41,126.9681389,35.11661111,백양꽃,B ,202
42,126.9676111,35.11675,백양꽃,B,202
43,126.9675556,35.11675,백양꽃,B ,204
44,126.9675278,35.11672222,백양꽃,B,205
45,126.9702778,35.11608333,백양꽃,B ,223
46,126.9706944,35.11602778,백양꽃,B,226
47,126.9705833,35.11608333,백양꽃,B ,233
48,126.9706944,35.11586111,백양꽃,B,234
49,126.9706944,35.11591667,백양꽃,B ,235
50,126.9709444,35.11572222,백양꽃,B,239
51,126.9715,35.11688889,백양꽃,B ,273
52,126.9716111,35.11697222,백양꽃,B,276
53,126.9715833,35.11694444,백양꽃,B ,280
54,126.9721667,35.11727778,백양꽃,B,280
55,126.9722222,35.11738889,백양꽃,B ,288
56,126.9723333,35.11744444,백양꽃,B,290
57,126.9721667,35.11725,백양꽃,B ,291
58,126.9722778,35.11738889,백양꽃,B,291
59,126.9722222,35.11736111,백양꽃,B ,300
60,126.9724167,35.11738889,백양꽃,B,301
61,126.9723611,35.11738889,백양꽃,B ,301
62,126.972,35.11722222,백양꽃,B,301
