행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0~9세,2024년01월_계_10~19세,2024년01월_계_20~29세,2024년01월_계_30~39세,2024년01월_계_40~49세,2024년01월_계_50~59세,2024년01월_계_60~69세,2024년01월_계_70~79세,2024년01월_계_80~89세,2024년01월_계_90~99세,2024년01월_계_100세 이상,2024년01월_남_총인구수,2024년01월_남_연령구간인구수,2024년01월_남_0~9세,2024년01월_남_10~19세,2024년01월_남_20~29세,2024년01월_남_30~39세,2024년01월_남_40~49세,2024년01월_남_50~59세,2024년01월_남_60~69세,2024년01월_남_70~79세,2024년01월_남_80~89세,2024년01월_남_90~99세,2024년01월_남_100세 이상,2024년01월_여_총인구수,2024년01월_여_연령구간인구수,2024년01월_여_0~9세,2024년01월_여_10~19세,2024년01월_여_20~29세,2024년01월_여_30~39세,2024년01월_여_40~49세,2024년01월_여_50~59세,2024년01월_여_60~69세,2024년01월_여_70~79세,2024년01월_여_80~89세,2024년01월_여_90~99세,2024년01월_여_100세 이상
전북특별자치도 익산시 삼성동(5214069000),"31,639","31,639","2,128","3,940","4,053","3,387","5,183","6,344","3,910","1,664",894,133,3,"15,626","15,626","1,040","1,984","2,208","1,746","2,420","3,170","2,024",751,258,25,0,"16,013","16,013","1,088","1,956","1,845","1,641","2,763","3,174","1,886",913,636,108,3
전북특별자치도 정읍시 (5218000000),"103,590","103,590","4,926","8,606","9,253","7,807","12,883","18,169","18,815","12,553","8,959","1,572",47,"51,612","51,612","2,530","4,531","5,183","4,155","6,736","9,797","9,658","5,670","3,020",325,7,"51,978","51,978","2,396","4,075","4,070","3,652","6,147","8,372","9,157","6,883","5,939","1,247",40
전북특별자치도 정읍시 신태인읍(5218025000),"5,063","5,063",160,296,300,302,513,831,"1,038",864,648,109,2,"2,485","2,485",75,181,173,165,301,475,522,356,208,29,0,"2,578","2,578",85,115,127,137,212,356,516,508,440,80,2
전북특별자치도 정읍시 북면(5218031000),"3,956","3,956",123,205,301,259,357,775,918,531,412,72,3,"2,007","2,007",50,103,177,140,206,417,507,246,149,12,0,"1,949","1,949",73,102,124,119,151,358,411,285,263,60,3
전북특별자치도 정읍시 입암면(5218032000),"2,653","2,653",47,107,153,120,182,471,651,436,418,67,1,"1,325","1,325",25,62,92,65,105,281,350,200,135,10,0,"1,328","1,328",22,45,61,55,77,190,301,236,283,57,1
전북특별자치도 정읍시 소성면(5218033000),"2,006","2,006",49,76,89,106,149,303,463,363,336,70,2,"1,031","1,031",33,36,60,59,94,181,260,179,113,15,1,975,975,16,40,29,47,55,122,203,184,223,55,1
전북특별자치도 정읍시 고부면(5218034000),"2,676","2,676",55,96,112,163,224,400,667,491,375,91,2,"1,332","1,332",24,50,68,105,149,235,364,218,105,14,0,"1,344","1,344",31,46,44,58,75,165,303,273,270,77,2
전북특별자치도 정읍시 영원면(5218035000),"1,665","1,665",35,60,82,80,123,226,408,322,267,61,1,830,830,18,34,48,51,82,132,221,137,94,13,0,835,835,17,26,34,29,41,94,187,185,173,48,1
전북특별자치도 정읍시 덕천면(5218036000),"1,683","1,683",29,71,108,86,128,302,400,293,218,45,3,860,860,15,39,67,56,80,180,209,139,67,7,1,823,823,14,32,41,30,48,122,191,154,151,38,2
전북특별자치도 정읍시 이평면(5218037000),"1,897","1,897",31,68,87,81,153,288,443,347,320,78,1,934,934,18,44,52,54,90,169,240,160,95,12,0,963,963,13,24,35,27,63,119,203,187,225,66,1
전북특별자치도 정읍시 정우면(5218038000),"2,368","2,368",44,89,127,108,196,369,606,382,379,66,2,"1,196","1,196",21,47,75,64,127,217,334,178,120,13,0,"1,172","1,172",23,42,52,44,69,152,272,204,259,53,2
전북특별자치도 정읍시 태인면(5218039000),"3,277","3,277",53,163,164,164,288,542,729,576,489,107,2,"1,649","1,649",32,90,87,103,177,338,372,255,168,26,1,"1,628","1,628",21,73,77,61,111,204,357,321,321,81,1
전북특별자치도 정읍시 감곡면(5218040000),"2,651","2,651",48,61,108,141,201,371,675,555,400,90,1,"1,357","1,357",27,40,64,79,138,229,354,269,136,20,1,"1,294","1,294",21,21,44,62,63,142,321,286,264,70,0
전북특별자치도 정읍시 옹동면(5218041000),"1,589","1,589",29,71,66,72,131,251,375,282,267,42,3,824,824,14,38,41,45,88,153,204,139,97,5,0,765,765,15,33,25,27,43,98,171,143,170,37,3
전북특별자치도 정읍시 칠보면(5218042000),"2,147","2,147",59,121,123,79,173,360,490,355,340,47,0,"1,104","1,104",30,72,82,52,100,222,265,159,107,15,0,"1,043","1,043",29,49,41,27,73,138,225,196,233,32,0
전북특별자치도 정읍시 산내면(5218043000),"1,199","1,199",17,46,56,47,76,215,334,201,181,26,0,612,612,10,27,32,29,46,125,195,88,53,7,0,587,587,7,19,24,18,30,90,139,113,128,19,0
