행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0~9세,2024년01월_계_10~19세,2024년01월_계_20~29세,2024년01월_계_30~39세,2024년01월_계_40~49세,2024년01월_계_50~59세,2024년01월_계_60~69세,2024년01월_계_70~79세,2024년01월_계_80~89세,2024년01월_계_90~99세,2024년01월_계_100세 이상,2024년01월_남_총인구수,2024년01월_남_연령구간인구수,2024년01월_남_0~9세,2024년01월_남_10~19세,2024년01월_남_20~29세,2024년01월_남_30~39세,2024년01월_남_40~49세,2024년01월_남_50~59세,2024년01월_남_60~69세,2024년01월_남_70~79세,2024년01월_남_80~89세,2024년01월_남_90~99세,2024년01월_남_100세 이상,2024년01월_여_총인구수,2024년01월_여_연령구간인구수,2024년01월_여_0~9세,2024년01월_여_10~19세,2024년01월_여_20~29세,2024년01월_여_30~39세,2024년01월_여_40~49세,2024년01월_여_50~59세,2024년01월_여_60~69세,2024년01월_여_70~79세,2024년01월_여_80~89세,2024년01월_여_90~99세,2024년01월_여_100세 이상
서울특별시  (1100000000),"9,384,325","9,384,325","510,839","732,095","1,351,857","1,426,653","1,418,358","1,497,561","1,317,634","741,028","341,120","45,706","1,474","4,538,354","4,538,354","262,001","374,718","640,896","713,652","701,808","735,899","623,584","335,311","137,983","12,172",330,"4,845,971","4,845,971","248,838","357,377","710,961","713,001","716,550","761,662","694,050","405,717","203,137","33,534","1,144"
서울특별시 종로구 (1111000000),"139,378","139,378","5,865","9,728","21,514","19,272","19,185","23,886","20,732","11,519","6,662",975,40,"67,240","67,240","2,956","4,769","10,159","9,625","9,269","11,863","10,364","5,232","2,673",320,10,"72,138","72,138","2,909","4,959","11,355","9,647","9,916","12,023","10,368","6,287","3,989",655,30
서울특별시 종로구 청운효자동(1111051500),"11,323","11,323",587,"1,084","1,387","1,508","1,877","1,915","1,426",899,554,81,5,"5,170","5,170",311,549,674,682,814,870,656,362,224,26,2,"6,153","6,153",276,535,713,826,"1,063","1,045",770,537,330,55,3
서울특별시 종로구 사직동(1111053000),"8,992","8,992",458,654,"1,041","1,418","1,403","1,477","1,251",693,499,93,5,"3,980","3,980",225,280,434,633,607,680,586,282,211,40,2,"5,012","5,012",233,374,607,785,796,797,665,411,288,53,3
서울특별시 종로구 삼청동(1111054000),"2,250","2,250",85,166,237,284,320,344,384,251,147,30,2,"1,075","1,075",39,97,119,132,155,166,177,118,58,13,1,"1,175","1,175",46,69,118,152,165,178,207,133,89,17,1
서울특별시 종로구 부암동(1111055000),"9,050","9,050",374,804,"1,094","1,162","1,377","1,634","1,340",748,435,78,4,"4,286","4,286",178,446,558,568,615,752,617,349,185,18,0,"4,764","4,764",196,358,536,594,762,882,723,399,250,60,4
서울특별시 종로구 평창동(1111056000),"17,373","17,373",986,"1,541","1,994","2,050","2,496","3,138","2,796","1,399",812,151,10,"8,075","8,075",533,737,986,971,"1,122","1,411","1,303",636,332,42,2,"9,298","9,298",453,804,"1,008","1,079","1,374","1,727","1,493",763,480,109,8
서울특별시 종로구 무악동(1111057000),"7,988","7,988",547,929,837,809,"1,303","1,445","1,091",602,375,46,4,"3,664","3,664",241,395,394,375,606,723,507,265,143,15,0,"4,324","4,324",306,534,443,434,697,722,584,337,232,31,4
서울특별시 종로구 교남동(1111058000),"9,689","9,689",735,782,"1,141","1,383","1,699","1,622","1,201",696,384,46,0,"4,450","4,450",362,369,526,629,788,790,535,280,157,14,0,"5,239","5,239",373,413,615,754,911,832,666,416,227,32,0
서울특별시 종로구 가회동(1111060000),"3,872","3,872",149,311,408,504,633,697,547,364,228,31,0,"1,804","1,804",89,158,190,234,293,339,255,153,84,9,0,"2,068","2,068",60,153,218,270,340,358,292,211,144,22,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,685","6,685",168,211,957,972,846,"1,105","1,320",690,368,46,2,"4,029","4,029",95,105,464,568,518,754,893,424,190,17,1,"2,656","2,656",73,106,493,404,328,351,427,266,178,29,1
서울특별시 종로구 종로5.6가동(1111063000),"5,365","5,365",150,198,"1,173",896,566,856,791,464,236,35,0,"2,820","2,820",68,91,535,504,320,495,468,216,113,10,0,"2,545","2,545",82,107,638,392,246,361,323,248,123,25,0
서울특별시 종로구 이화동(1111064000),"6,904","6,904",168,316,"1,508","1,219",793,"1,004",938,576,338,43,1,"3,274","3,274",87,161,692,600,401,493,453,255,116,16,0,"3,630","3,630",81,155,816,619,392,511,485,321,222,27,1
서울특별시 종로구 혜화동(1111065000),"15,866","15,866",506,"1,194","4,278","2,008","1,918","2,327","1,715","1,082",726,106,6,"7,636","7,636",243,599,"2,116","1,060",927,"1,114",824,432,287,32,2,"8,230","8,230",263,595,"2,162",948,991,"1,213",891,650,439,74,4
서울특별시 종로구 창신제1동(1111067000),"4,499","4,499",105,171,518,612,494,840,990,494,251,24,0,"2,381","2,381",53,95,267,347,270,445,552,248,99,5,0,"2,118","2,118",52,76,251,265,224,395,438,246,152,19,0
서울특별시 종로구 창신제2동(1111068000),"7,488","7,488",153,331,949,881,804,"1,672","1,485",769,394,50,0,"3,862","3,862",79,173,493,514,445,870,769,354,144,21,0,"3,626","3,626",74,158,456,367,359,802,716,415,250,29,0
서울특별시 종로구 창신제3동(1111069000),"6,330","6,330",297,416,811,907,797,"1,178","1,080",518,284,42,0,"3,119","3,119",154,216,423,460,402,572,543,233,96,20,0,"3,211","3,211",143,200,388,447,395,606,537,285,188,22,0
서울특별시 종로구 숭인제1동(1111070000),"5,793","5,793",203,331,717,799,812,"1,088",981,538,284,39,1,"2,807","2,807",103,168,339,406,420,552,465,250,96,8,0,"2,986","2,986",100,163,378,393,392,536,516,288,188,31,1
서울특별시 종로구 숭인제2동(1111071000),"9,911","9,911",194,289,"2,464","1,860","1,047","1,544","1,396",736,347,34,0,"4,808","4,808",96,130,949,942,566,837,761,375,138,14,0,"5,103","5,103",98,159,"1,515",918,481,707,635,361,209,20,0
서울특별시 중구 (1114000000),"121,322","121,322","5,593","6,128","17,448","20,923","16,766","19,116","18,350","10,496","5,590",885,27,"58,651","58,651","2,864","3,080","7,923","10,453","8,527","9,572","9,141","4,735","2,119",230,7,"62,671","62,671","2,729","3,048","9,525","10,470","8,239","9,544","9,209","5,761","3,471",655,20
서울특별시 중구 소공동(1114052000),"2,188","2,188",143,145,225,442,518,319,229,107,50,10,0,"1,033","1,033",77,53,81,209,250,167,120,51,22,3,0,"1,155","1,155",66,92,144,233,268,152,109,56,28,7,0
서울특별시 중구 회현동(1114054000),"4,390","4,390",160,197,423,526,524,794,949,513,255,47,2,"2,309","2,309",83,100,213,254,279,428,559,257,123,13,0,"2,081","2,081",77,97,210,272,245,366,390,256,132,34,2
서울특별시 중구 명동(1114055000),"2,596","2,596",57,109,325,358,350,451,483,283,151,28,1,"1,076","1,076",33,51,126,183,143,199,194,103,39,4,1,"1,520","1,520",24,58,199,175,207,252,289,180,112,24,0
서울특별시 중구 필동(1114057000),"4,004","4,004",139,198,738,709,472,567,615,320,199,45,2,"2,077","2,077",76,99,362,385,258,326,317,161,82,11,0,"1,927","1,927",63,99,376,324,214,241,298,159,117,34,2
서울특별시 중구 장충동(1114058000),"4,535","4,535",138,242,"1,249",671,501,584,530,366,220,34,0,"2,370","2,370",75,120,702,379,264,303,265,166,85,11,0,"2,165","2,165",63,122,547,292,237,281,265,200,135,23,0
서울특별시 중구 광희동(1114059000),"5,806","5,806",126,181,"1,237","1,257",673,758,828,503,219,24,0,"2,850","2,850",68,87,482,662,349,414,451,241,88,8,0,"2,956","2,956",58,94,755,595,324,344,377,262,131,16,0
서울특별시 중구 을지로동(1114060500),"3,059","3,059",141,65,417,919,437,370,394,208,98,10,0,"1,680","1,680",68,27,176,511,239,226,259,121,48,5,0,"1,379","1,379",73,38,241,408,198,144,135,87,50,5,0
서울특별시 중구 신당동(1114061500),"7,415","7,415",227,240,"1,278","1,319",979,"1,198","1,125",668,330,50,1,"3,622","3,622",96,117,538,655,519,658,581,320,128,10,0,"3,793","3,793",131,123,740,664,460,540,544,348,202,40,1
서울특별시 중구 다산동(1114062500),"13,278","13,278",434,694,"2,058","2,182","1,727","2,147","2,064","1,210",668,92,2,"6,431","6,431",227,373,976,"1,127",885,"1,057",961,550,255,20,0,"6,847","6,847",207,321,"1,082","1,055",842,"1,090","1,103",660,413,72,2
서울특별시 중구 약수동(1114063500),"16,098","16,098",819,870,"1,775","2,267","2,197","2,674","2,681","1,678",970,163,4,"7,422","7,422",405,438,842,"1,097","1,061","1,232","1,239",714,355,38,1,"8,676","8,676",414,432,933,"1,170","1,136","1,442","1,442",964,615,125,3
서울특별시 중구 청구동(1114064500),"12,964","12,964",622,741,"1,571","2,140","1,638","2,154","2,106","1,190",690,106,6,"6,113","6,113",310,378,755,"1,054",808,"1,015","1,011",513,240,27,2,"6,851","6,851",312,363,816,"1,086",830,"1,139","1,095",677,450,79,4
서울특별시 중구 신당제5동(1114065000),"10,140","10,140",441,513,"1,482","1,785","1,409","1,755","1,465",823,405,60,2,"4,908","4,908",220,239,655,894,737,907,727,351,157,20,1,"5,232","5,232",221,274,827,891,672,848,738,472,248,40,1
서울특별시 중구 동화동(1114066500),"9,938","9,938",568,754,"1,132","1,272","1,407","1,818","1,627",811,467,82,0,"4,783","4,783",308,378,548,632,684,864,806,379,156,28,0,"5,155","5,155",260,376,584,640,723,954,821,432,311,54,0
서울특별시 중구 황학동(1114067000),"12,721","12,721",644,461,"2,175","2,966","1,837","1,686","1,605",894,386,65,2,"5,997","5,997",341,226,879,"1,454",930,823,787,401,142,14,0,"6,724","6,724",303,235,"1,296","1,512",907,863,818,493,244,51,2
서울특별시 중구 중림동(1114068000),"12,190","12,190",934,718,"1,363","2,110","2,097","1,841","1,649",922,482,69,5,"5,980","5,980",477,394,588,957,"1,121",953,864,407,199,18,2,"6,210","6,210",457,324,775,"1,153",976,888,785,515,283,51,3
서울특별시 용산구 (1117000000),"212,175","212,175","10,982","13,573","29,768","37,329","31,107","34,147","29,276","15,616","8,892","1,428",57,"101,793","101,793","5,601","6,912","13,675","18,528","15,387","16,664","14,285","6,904","3,392",431,14,"110,382","110,382","5,381","6,661","16,093","18,801","15,720","17,483","14,991","8,712","5,500",997,43
서울특별시 용산구 후암동(1117051000),"15,992","15,992",689,"1,099","2,203","2,758","2,300","2,605","2,296","1,255",672,105,10,"7,727","7,727",347,594,"1,072","1,445","1,114","1,280","1,070",552,229,22,2,"8,265","8,265",342,505,"1,131","1,313","1,186","1,325","1,226",703,443,83,8
서울특별시 용산구 용산2가동(1117052000),"8,902","8,902",252,445,"1,308","1,633","1,238","1,253","1,332",863,501,76,1,"4,337","4,337",131,236,673,847,662,596,602,382,189,19,0,"4,565","4,565",121,209,635,786,576,657,730,481,312,57,1
서울특별시 용산구 남영동(1117053000),"6,828","6,828",129,220,766,"1,012",833,"1,459","1,460",625,287,34,3,"4,175","4,175",69,123,341,555,509,998,"1,032",389,142,16,1,"2,653","2,653",60,97,425,457,324,461,428,236,145,18,2
서울특별시 용산구 청파동(1117055500),"18,825","18,825",492,962,"4,020","3,355","2,285","2,987","2,494","1,384",755,87,4,"8,742","8,742",248,466,"1,527","1,780","1,161","1,485","1,199",566,289,19,2,"10,083","10,083",244,496,"2,493","1,575","1,124","1,502","1,295",818,466,68,2
서울특별시 용산구 원효로제1동(1117056000),"17,032","17,032","1,081",943,"2,865","4,223","2,657","2,174","1,804",845,387,53,0,"7,917","7,917",549,497,"1,099","1,972","1,296","1,079",871,384,154,16,0,"9,115","9,115",532,446,"1,766","2,251","1,361","1,095",933,461,233,37,0
서울특별시 용산구 원효로제2동(1117057000),"13,646","13,646",729,986,"1,902","2,319","1,968","2,239","1,869","1,004",545,82,3,"6,411","6,411",356,428,837,"1,132",988,"1,093",898,461,191,27,0,"7,235","7,235",373,558,"1,065","1,187",980,"1,146",971,543,354,55,3
서울특별시 용산구 효창동(1117058000),"10,625","10,625",735,674,"1,590","1,964","1,573","1,732","1,258",648,384,66,1,"5,010","5,010",361,362,722,945,768,800,616,268,149,19,0,"5,615","5,615",374,312,868,"1,019",805,932,642,380,235,47,1
서울특별시 용산구 용문동(1117059000),"11,385","11,385",618,650,"1,605","1,931","1,582","1,846","1,617",977,496,60,3,"5,426","5,426",292,335,763,983,796,889,738,422,194,12,2,"5,959","5,959",326,315,842,948,786,957,879,555,302,48,1
서울특별시 용산구 한강로동(1117062500),"20,976","20,976","1,229",956,"3,206","4,818","2,832","3,200","2,684","1,252",691,102,6,"9,902","9,902",635,491,"1,355","2,244","1,371","1,504","1,359",620,292,30,1,"11,074","11,074",594,465,"1,851","2,574","1,461","1,696","1,325",632,399,72,5
서울특별시 용산구 이촌제1동(1117063000),"24,949","24,949","2,160","2,642","2,537","2,930","4,168","4,381","3,076","1,641","1,166",238,10,"11,718","11,718","1,130","1,348","1,253","1,280","1,906","2,063","1,514",706,431,85,2,"13,231","13,231","1,030","1,294","1,284","1,650","2,262","2,318","1,562",935,735,153,8
서울특별시 용산구 이촌제2동(1117064000),"7,861","7,861",423,435,834,"1,268","1,124","1,304","1,285",730,382,73,3,"3,688","3,688",202,219,417,635,548,625,556,328,135,22,1,"4,173","4,173",221,216,417,633,576,679,729,402,247,51,2
서울특별시 용산구 이태원제1동(1117065000),"6,011","6,011",209,232,835,"1,156",791,890,991,539,299,68,1,"3,012","3,012",107,109,461,664,412,414,490,211,120,24,0,"2,999","2,999",102,123,374,492,379,476,501,328,179,44,1
서울특별시 용산구 이태원제2동(1117066000),"8,685","8,685",336,430,"1,192","1,696","1,307","1,252","1,159",736,499,75,3,"4,064","4,064",179,192,601,857,644,576,511,295,179,30,0,"4,621","4,621",157,238,591,839,663,676,648,441,320,45,3
서울특별시 용산구 한남동(1117068500),"17,269","17,269",995,999,"1,941","3,121","2,856","2,763","2,426","1,363",689,115,1,"8,302","8,302",518,519,970,"1,500","1,424","1,305","1,153",590,295,28,0,"8,967","8,967",477,480,971,"1,621","1,432","1,458","1,273",773,394,87,1
서울특별시 용산구 서빙고동(1117069000),"12,474","12,474",656,"1,381","1,556","1,453","2,171","2,124","1,645",768,601,114,5,"6,003","6,003",338,684,788,714,"1,056","1,000",835,338,208,39,3,"6,471","6,471",318,697,768,739,"1,115","1,124",810,430,393,75,2
서울특별시 용산구 보광동(1117070000),"10,715","10,715",249,519,"1,408","1,692","1,422","1,938","1,880",986,538,80,3,"5,359","5,359",139,309,796,975,732,957,841,392,195,23,0,"5,356","5,356",110,210,612,717,690,981,"1,039",594,343,57,3
서울특별시 성동구 (1120000000),"277,090","277,090","16,789","17,790","40,777","45,697","40,825","44,483","38,639","20,452","10,325","1,272",41,"134,390","134,390","8,647","8,882","19,730","22,366","20,483","21,885","18,922","9,146","3,971",346,12,"142,700","142,700","8,142","8,908","21,047","23,331","20,342","22,598","19,717","11,306","6,354",926,29
서울특별시 성동구 왕십리제2동(1120052000),"16,104","16,104","1,048","1,044","2,209","2,812","2,331","2,624","2,250","1,171",533,81,1,"7,744","7,744",527,534,"1,034","1,372","1,165","1,279","1,106",493,212,22,0,"8,360","8,360",521,510,"1,175","1,440","1,166","1,345","1,144",678,321,59,1
서울특별시 성동구 왕십리도선동(1120053500),"26,282","26,282","1,981","1,633","4,039","4,434","3,894","4,331","3,284","1,668",896,119,3,"12,309","12,309","1,028",841,"1,731","2,003","1,933","2,036","1,625",732,354,26,0,"13,973","13,973",953,792,"2,308","2,431","1,961","2,295","1,659",936,542,93,3
서울특별시 성동구 마장동(1120054000),"21,494","21,494",952,"1,405","4,048","3,157","2,622","3,390","3,196","1,723",883,117,1,"10,561","10,561",482,707,"2,009","1,631","1,335","1,649","1,575",813,320,40,0,"10,933","10,933",470,698,"2,039","1,526","1,287","1,741","1,621",910,563,77,1
서울특별시 성동구 사근동(1120055000),"11,865","11,865",323,639,"4,866","1,606","1,045","1,290",992,673,406,25,0,"6,217","6,217",171,294,"2,688",930,552,625,498,282,168,9,0,"5,648","5,648",152,345,"2,178",676,493,665,494,391,238,16,0
서울특별시 성동구 행당제1동(1120056000),"13,719","13,719",846,991,"2,162","2,240","2,060","2,175","1,747",931,494,62,11,"6,572","6,572",447,457,995,"1,113","1,011","1,037",864,436,193,15,4,"7,147","7,147",399,534,"1,167","1,127","1,049","1,138",883,495,301,47,7
서울특별시 성동구 행당제2동(1120057000),"22,848","22,848","1,544","1,888","2,551","3,438","3,552","3,997","3,074","1,801",893,106,4,"10,655","10,655",767,851,"1,182","1,631","1,701","1,935","1,455",772,330,31,0,"12,193","12,193",777,"1,037","1,369","1,807","1,851","2,062","1,619","1,029",563,75,4
서울특별시 성동구 응봉동(1120058000),"14,901","14,901",968,"1,482","1,661","2,017","2,596","2,522","1,857","1,099",629,69,1,"7,072","7,072",509,759,778,970,"1,223","1,232",860,473,249,19,0,"7,829","7,829",459,723,883,"1,047","1,373","1,290",997,626,380,50,1
서울특별시 성동구 금호1가동(1120059000),"14,745","14,745","1,076","1,032","1,519","2,303","2,471","2,323","2,176","1,196",569,79,1,"7,022","7,022",569,523,734,"1,075","1,281","1,099",999,526,198,18,0,"7,723","7,723",507,509,785,"1,228","1,190","1,224","1,177",670,371,61,1
서울특별시 성동구 금호2.3가동(1120061500),"21,941","21,941","1,528","1,284","2,453","3,778","3,561","3,542","3,088","1,710",878,112,7,"10,447","10,447",788,652,"1,217","1,835","1,762","1,684","1,427",736,309,35,2,"11,494","11,494",740,632,"1,236","1,943","1,799","1,858","1,661",974,569,77,5
서울특별시 성동구 금호4가동(1120062000),"14,130","14,130","1,179",927,"1,307","2,316","2,597","2,134","1,958","1,105",539,65,3,"6,688","6,688",630,467,662,"1,068","1,270","1,053",866,465,191,14,2,"7,442","7,442",549,460,645,"1,248","1,327","1,081","1,092",640,348,51,1
서울특별시 성동구 옥수동(1120064500),"25,382","25,382","2,290","1,592","2,427","4,556","4,435","3,799","3,437","1,792",916,135,3,"11,766","11,766","1,125",805,"1,123","2,055","2,162","1,780","1,546",785,348,35,2,"13,616","13,616","1,165",787,"1,304","2,501","2,273","2,019","1,891","1,007",568,100,1
서울특별시 성동구 성수1가제1동(1120065000),"15,390","15,390",809,903,"2,199","2,839","2,010","2,755","2,428",951,442,54,0,"7,653","7,653",425,463,"1,114","1,422","1,008","1,335","1,251",451,172,12,0,"7,737","7,737",384,440,"1,085","1,417","1,002","1,420","1,177",500,270,42,0
서울특별시 성동구 성수1가제2동(1120066000),"11,925","11,925",584,741,"1,750","2,313","1,721","1,856","1,642",854,413,51,0,"5,820","5,820",291,387,844,"1,130",844,933,802,400,178,11,0,"6,105","6,105",293,354,906,"1,183",877,923,840,454,235,40,0
서울특별시 성동구 성수2가제1동(1120067000),"14,565","14,565",579,718,"1,849","2,409","1,886","2,556","2,712","1,246",547,62,1,"7,542","7,542",301,355,954,"1,293","1,014","1,354","1,450",584,218,19,0,"7,023","7,023",278,363,895,"1,116",872,"1,202","1,262",662,329,43,1
서울특별시 성동구 성수2가제3동(1120069000),"10,021","10,021",438,495,"1,604","1,852","1,315","1,589","1,478",799,410,39,2,"5,009","5,009",241,253,759,890,688,816,793,391,164,13,1,"5,012","5,012",197,242,845,962,627,773,685,408,246,26,1
서울특별시 성동구 송정동(1120072000),"9,710","9,710",364,483,"1,442","1,552","1,308","1,705","1,692",783,340,39,2,"5,101","5,101",199,259,720,860,731,913,910,361,136,12,0,"4,609","4,609",165,224,722,692,577,792,782,422,204,27,2
서울특별시 성동구 용답동(1120079000),"12,068","12,068",280,533,"2,691","2,075","1,421","1,895","1,628",950,537,57,1,"6,212","6,212",147,275,"1,186","1,088",803,"1,125",895,446,231,15,1,"5,856","5,856",133,258,"1,505",987,618,770,733,504,306,42,0
서울특별시 광진구 (1121500000),"335,335","335,335","15,099","23,777","58,691","54,811","48,010","53,238","45,609","23,625","11,000","1,429",46,"161,154","161,154","7,722","11,990","27,217","27,377","23,510","25,905","21,767","10,790","4,467",396,13,"174,181","174,181","7,377","11,787","31,474","27,434","24,500","27,333","23,842","12,835","6,533","1,033",33
서울특별시 광진구 화양동(1121571000),"23,134","23,134",288,632,"10,205","4,761","2,026","1,965","1,659","1,036",502,59,1,"10,953","10,953",145,264,"4,346","2,487","1,096","1,089",818,469,222,17,0,"12,181","12,181",143,368,"5,859","2,274",930,876,841,567,280,42,1
서울특별시 광진구 군자동(1121573000),"19,040","19,040",647,930,"4,228","3,446","2,467","2,636","2,553","1,382",685,64,2,"9,380","9,380",337,487,"2,023","1,788","1,244","1,330","1,229",656,275,11,0,"9,660","9,660",310,443,"2,205","1,658","1,223","1,306","1,324",726,410,53,2
서울특별시 광진구 중곡제1동(1121574000),"15,222","15,222",558,662,"2,814","3,037","1,952","2,315","2,159","1,138",517,68,2,"7,196","7,196",283,346,"1,132","1,491","1,037","1,125","1,025",531,210,15,1,"8,026","8,026",275,316,"1,682","1,546",915,"1,190","1,134",607,307,53,1
서울특별시 광진구 중곡제2동(1121575000),"20,484","20,484",826,"1,228","3,293","3,637","2,824","3,351","3,045","1,585",621,70,4,"9,626","9,626",421,625,"1,476","1,754","1,395","1,531","1,434",700,276,13,1,"10,858","10,858",405,603,"1,817","1,883","1,429","1,820","1,611",885,345,57,3
서울특별시 광진구 중곡제3동(1121576000),"15,683","15,683",595,831,"2,303","2,727","2,042","2,672","2,518","1,343",595,57,0,"7,741","7,741",314,420,"1,109","1,429","1,069","1,312","1,227",598,243,20,0,"7,942","7,942",281,411,"1,194","1,298",973,"1,360","1,291",745,352,37,0
서울특별시 광진구 중곡제4동(1121577000),"27,554","27,554","1,009","1,652","3,924","4,024","3,565","5,098","4,672","2,455","1,037",114,4,"13,416","13,416",527,857,"1,962","2,091","1,793","2,383","2,216","1,127",436,23,1,"14,138","14,138",482,795,"1,962","1,933","1,772","2,715","2,456","1,328",601,91,3
서울특별시 광진구 능동(1121578000),"11,081","11,081",428,486,"2,237","2,444","1,613","1,457","1,298",732,349,35,2,"5,078","5,078",214,239,962,"1,119",777,697,583,327,151,8,1,"6,003","6,003",214,247,"1,275","1,325",836,760,715,405,198,27,1
서울특별시 광진구 광장동(1121581000),"33,965","33,965","2,420","5,375","3,821","3,308","6,829","6,073","3,476","1,568",920,169,6,"16,440","16,440","1,267","2,737","1,908","1,498","3,064","3,061","1,718",780,348,57,2,"17,525","17,525","1,153","2,638","1,913","1,810","3,765","3,012","1,758",788,572,112,4
서울특별시 광진구 자양제1동(1121582000),"21,880","21,880",723,"1,381","3,877","3,830","3,134","3,400","3,073","1,599",776,86,1,"10,629","10,629",382,724,"1,879","2,005","1,540","1,668","1,441",671,298,21,0,"11,251","11,251",341,657,"1,998","1,825","1,594","1,732","1,632",928,478,65,1
서울특별시 광진구 자양제2동(1121583000),"23,613","23,613","1,194","1,686","3,186","3,695","3,541","3,906","3,703","1,835",753,111,3,"11,425","11,425",586,872,"1,564","1,863","1,726","1,850","1,751",860,318,34,1,"12,188","12,188",608,814,"1,622","1,832","1,815","2,056","1,952",975,435,77,2
서울특별시 광진구 자양제3동(1121584000),"27,181","27,181","1,925","2,402","3,453","3,847","4,202","4,562","3,837","1,809",959,180,5,"12,997","12,997","1,007","1,161","1,727","1,807","1,959","2,199","1,829",852,394,59,3,"14,184","14,184",918,"1,241","1,726","2,040","2,243","2,363","2,008",957,565,121,2
서울특별시 광진구 자양제4동(1121584700),"19,898","19,898",776,910,"3,243","3,381","2,560","3,166","3,212","1,773",788,87,2,"9,834","9,834",384,450,"1,541","1,778","1,325","1,638","1,597",793,302,25,1,"10,064","10,064",392,460,"1,702","1,603","1,235","1,528","1,615",980,486,62,1
서울특별시 광진구 구의제1동(1121585000),"23,097","23,097",841,"1,152","4,743","4,581","3,197","3,466","2,859","1,457",706,91,4,"11,051","11,051",409,575,"2,139","2,322","1,634","1,672","1,357",633,280,30,0,"12,046","12,046",432,577,"2,604","2,259","1,563","1,794","1,502",824,426,61,4
서울특별시 광진구 구의제2동(1121586000),"25,637","25,637","1,301","2,157","3,301","3,609","3,977","4,461","3,778","2,038",912,97,6,"12,225","12,225",659,"1,105","1,591","1,776","1,928","2,114","1,760",913,358,21,0,"13,412","13,412",642,"1,052","1,710","1,833","2,049","2,347","2,018","1,125",554,76,6
서울특별시 광진구 구의제3동(1121587000),"27,866","27,866","1,568","2,293","4,063","4,484","4,081","4,710","3,767","1,875",880,141,4,"13,163","13,163",787,"1,128","1,858","2,169","1,923","2,236","1,782",880,356,42,2,"14,703","14,703",781,"1,165","2,205","2,315","2,158","2,474","1,985",995,524,99,2
서울특별시 동대문구 (1123000000),"340,983","340,983","18,180","22,613","56,685","49,449","48,557","52,665","48,579","28,410","14,149","1,640",56,"167,230","167,230","9,242","11,488","26,902","25,440","24,998","26,550","23,665","12,809","5,681",444,11,"173,753","173,753","8,938","11,125","29,783","24,009","23,559","26,115","24,914","15,601","8,468","1,196",45
서울특별시 동대문구 용신동(1123053600),"38,464","38,464","1,964","1,907","7,023","7,008","5,553","5,604","5,059","2,700","1,481",158,7,"18,993","18,993",979,993,"3,146","3,503","2,946","2,928","2,609","1,238",602,48,1,"19,471","19,471",985,914,"3,877","3,505","2,607","2,676","2,450","1,462",879,110,6
서울특별시 동대문구 제기동(1123054500),"22,953","22,953",776,"1,170","4,330","2,972","2,609","3,464","3,707","2,444","1,332",143,6,"11,786","11,786",388,620,"2,298","1,673","1,438","1,850","1,811","1,114",552,41,1,"11,167","11,167",388,550,"2,032","1,299","1,171","1,614","1,896","1,330",780,102,5
서울특별시 동대문구 전농제1동(1123056000),"32,306","32,306","1,975","2,057","4,903","4,529","4,725","5,354","4,735","2,557","1,306",159,6,"16,078","16,078",993,"1,052","2,369","2,328","2,465","2,754","2,426","1,141",511,39,0,"16,228","16,228",982,"1,005","2,534","2,201","2,260","2,600","2,309","1,416",795,120,6
서울특별시 동대문구 전농제2동(1123057000),"17,900","17,900",981,"1,554","1,986","2,084","2,636","3,169","2,871","1,652",882,83,2,"8,525","8,525",497,770,956,"1,065","1,296","1,522","1,291",734,364,29,1,"9,375","9,375",484,784,"1,030","1,019","1,340","1,647","1,580",918,518,54,1
서울특별시 동대문구 답십리제1동(1123060000),"27,828","27,828","2,262","1,907","3,825","4,836","4,635","4,059","3,505","1,798",885,108,8,"13,373","13,373","1,164",948,"1,698","2,278","2,365","2,001","1,740",820,331,27,1,"14,455","14,455","1,098",959,"2,127","2,558","2,270","2,058","1,765",978,554,81,7
서울특별시 동대문구 답십리제2동(1123061000),"27,450","27,450","1,567","1,710","3,173","4,231","3,771","4,585","4,438","2,538","1,286",150,1,"13,216","13,216",758,836,"1,570","2,149","1,911","2,235","2,085","1,125",506,41,0,"14,234","14,234",809,874,"1,603","2,082","1,860","2,350","2,353","1,413",780,109,1
서울특별시 동대문구 장안제1동(1123065000),"37,434","37,434","2,093","2,507","4,868","5,954","6,102","5,793","5,587","3,151","1,232",139,8,"18,488","18,488","1,113","1,250","2,262","3,090","3,154","2,907","2,677","1,477",533,24,1,"18,946","18,946",980,"1,257","2,606","2,864","2,948","2,886","2,910","1,674",699,115,7
서울특별시 동대문구 장안제2동(1123066000),"32,712","32,712","2,481","2,851","3,711","4,752","5,775","5,051","4,506","2,471",989,122,3,"16,190","16,190","1,271","1,545","1,840","2,384","2,909","2,531","2,130","1,158",398,24,0,"16,522","16,522","1,210","1,306","1,871","2,368","2,866","2,520","2,376","1,313",591,98,3
서울특별시 동대문구 청량리동(1123070500),"18,700","18,700",609,932,"2,211","2,139","2,160","3,078","3,772","2,393","1,214",189,3,"9,210","9,210",300,485,"1,104","1,155","1,139","1,563","1,868","1,069",475,51,1,"9,490","9,490",309,447,"1,107",984,"1,021","1,515","1,904","1,324",739,138,2
