행정구역,행정구역코드,여성출산적령기_20_39세,노인기준_65세_이상,소멸지수,2023년_계_65~69세,2023년_계_70~74세,2023년_계_75~79세,2023년_계_80~84세,2023년_계_85~89세,2023년_계_90~94세,2023년_계_95~99세,2023년_계_100세 이상,2023년_여_20~24세,2023년_여_25~29세,2023년_여_30~34세,2023년_여_35~39세
서울특별시 동대문구 ,1123000000,"53,857","66,790",0.806363228,"22,675","15,631","12,717","9,556","4,524","1,347",283,57,"14,343","15,524","12,920","11,070"
서울특별시 동대문구 용신동,1123053600,"7,374","6,602",1.116934262,"2,268","1,487","1,214",993,474,132,27,7,"1,542","2,314","2,012","1,506"
서울특별시 동대문구 제기동,1123054500,"3,353","5,715",0.586701662,"1,797","1,324","1,118",889,433,120,27,7,"1,052",998,685,618
서울특별시 동대문구 전농제1동,1123056000,"4,677","6,167",0.758391438,"2,141","1,373","1,192",860,438,137,21,5,"1,222","1,284","1,116","1,055"
서울특별시 동대문구 전농제2동,1123057000,"2,059","3,947",0.521662022,"1,328",902,745,584,304,67,15,2,502,536,524,497
서울특별시 동대문구 답십리제1동,1123060000,"4,707","4,318",1.090088004,"1,531","1,015",787,597,277,85,18,8,877,"1,257","1,316","1,257"
서울특별시 동대문구 답십리제2동,1123061000,"3,681","5,979",0.615654792,"2,030","1,414","1,104",865,419,121,25,1,666,937,"1,092",986
서울특별시 동대문구 장안제1동,1123065000,"5,473","7,128",0.767817059,"2,621","1,802","1,329",871,360,116,21,8,974,"1,659","1,555","1,285"
서울특별시 동대문구 장안제2동,1123066000,"4,248","5,732",0.741102582,"2,157","1,411","1,058",689,293,103,18,3,801,"1,062","1,176","1,209"
서울특별시 동대문구 청량리동,1123070500,"2,111","5,641",0.374224428,"1,850","1,300","1,088",817,395,150,38,3,474,641,547,449
서울특별시 동대문구 회기동,1123071000,"2,593","1,553",1.669671603,464,322,308,281,122,46,8,2,"1,102",814,403,274
서울특별시 동대문구 휘경제1동,1123072000,"3,151","2,175",1.448735632,668,517,420,329,172,56,11,2,"1,178",997,569,407
서울특별시 동대문구 휘경제2동,1123073000,"4,222","4,265",0.989917937,"1,441","1,041",820,586,277,79,18,3,"1,515","1,298",827,582
서울특별시 동대문구 이문제1동,1123074000,"3,584","3,309",1.083106679,991,711,668,568,284,66,17,4,"1,689","1,019",483,393
서울특별시 동대문구 이문제2동,1123075000,"2,624","4,259",0.616107067,"1,388","1,012",866,627,276,69,19,2,749,708,615,552
서울특별시 중랑구 ,1126000000,"54,393","78,791",0.690345344,"28,756","18,909","14,360","10,256","4,624","1,462",371,53,"10,238","15,810","15,738","12,607"
서울특별시 중랑구 면목제2동,1126052000,"3,144","5,024",0.625796178,"1,822","1,159",963,664,293,93,28,2,591,916,955,682
서울특별시 중랑구 면목제4동,1126054000,"2,258","4,084",0.552889324,"1,363","1,029",845,595,175,59,15,3,421,648,616,573
서울특별시 중랑구 면목제5동,1126055000,"1,962","2,524",0.777337559,964,614,437,323,137,35,12,2,294,440,578,650
서울특별시 중랑구 면목본동,1126056500,"5,030","6,581",0.764321532,"2,320","1,656","1,204",882,374,126,17,2,929,"1,576","1,480","1,045"
서울특별시 중랑구 면목제7동,1126057000,"3,009","4,647",0.647514526,"1,684","1,144",879,570,257,94,17,2,535,854,894,726
서울특별시 중랑구 면목제3.8동,1126057500,"3,353","5,501",0.609525541,"2,041","1,293","1,035",710,301,95,24,2,659,"1,004",957,733
서울특별시 중랑구 상봉제1동,1126058000,"3,193","4,319",0.739291503,"1,677",991,743,566,244,75,21,2,577,918,904,794
서울특별시 중랑구 상봉제2동,1126059000,"4,959","3,184",1.557474874,"1,162",789,588,403,168,60,12,2,765,"1,754","1,514",926
서울특별시 중랑구 중화제1동,1126060000,"2,606","4,023",0.647775292,"1,499","1,020",717,516,201,54,14,2,452,734,810,610
서울특별시 중랑구 중화제2동,1126061000,"3,370","5,385",0.625812442,"2,002","1,208",964,743,349,96,21,2,629,"1,046",970,725
서울특별시 중랑구 묵제1동,1126062000,"4,857","6,433",0.755013213,"2,248","1,575","1,222",849,395,115,25,4,"1,151","1,380","1,277","1,049"
서울특별시 중랑구 묵제2동,1126063000,"2,540","3,918",0.648289944,"1,426",987,690,523,215,58,16,3,498,741,724,577
서울특별시 중랑구 망우본동,1126065500,"5,413","7,281",0.743441835,"2,761","1,713","1,250",914,447,148,41,7,889,"1,516","1,585","1,423"
서울특별시 중랑구 망우제3동,1126066000,"1,883","3,691",0.510159848,"1,379",868,657,448,223,91,23,2,423,568,497,395
서울특별시 중랑구 신내1동,1126068000,"4,380","7,659",0.571876224,"2,773","1,775","1,383",977,520,169,55,7,951,"1,126","1,231","1,072"
서울특별시 중랑구 신내2동,1126069000,"2,436","4,537",0.536918669,"1,635","1,088",783,573,325,94,30,9,474,589,746,627
서울특별시 성북구 ,1129000000,"62,282","80,232",0.776273806,"26,920","18,518","15,112","11,803","5,608","1,773",439,59,"17,379","16,889","14,413","13,601"
서울특별시 성북구 성북동,1129052500,"2,686","3,124",0.859795134,975,636,589,506,276,104,32,6,619,789,751,527
서울특별시 성북구 삼선동,1129055500,"3,872","4,157",0.931440943,"1,318",896,823,666,340,81,27,6,"1,132","1,180",879,681
서울특별시 성북구 동선동,1129057500,"4,518","2,235",2.02147651,681,459,463,385,173,61,11,2,"1,875","1,401",749,493
서울특별시 성북구 돈암제1동,1129058000,"1,951","3,122",0.624919923,"1,082",738,554,445,222,69,10,2,486,519,501,445
서울특별시 성북구 돈암제2동,1129059000,"2,802","3,830",0.731592689,"1,305",878,665,539,289,115,36,3,675,673,680,774
서울특별시 성북구 안암동,1129060000,"3,546","2,176",1.629595588,667,483,427,342,182,59,14,2,"1,494","1,167",557,328
서울특별시 성북구 보문동,1129061000,"2,821","2,665",1.058536585,901,641,501,356,195,57,12,2,598,818,732,673
서울특별시 성북구 정릉제1동,1129062000,"2,337","3,308",0.706469166,"1,048",789,630,513,237,76,14,1,651,496,559,631
서울특별시 성북구 정릉제2동,1129063000,"3,030","4,857",0.623841878,"1,666","1,122",899,707,344,83,35,1,745,776,807,702
서울특별시 성북구 정릉제3동,1129064000,"2,294","3,475",0.660143885,"1,124",766,669,553,253,83,26,1,905,605,437,347
서울특별시 성북구 정릉제4동,1129065000,"2,979","5,197",0.573215317,"1,730","1,227",984,786,323,114,29,4,777,769,733,700
서울특별시 성북구 길음제1동,1129066000,"3,814","4,909",0.776940314,"1,633","1,091","1,005",727,322,110,18,3,"1,020",758,842,"1,194"
서울특별시 성북구 길음제2동,1129068500,"2,851","3,276",0.87026862,"1,199",838,561,401,190,65,20,2,672,656,691,832
서울특별시 성북구 종암동,1129070500,"4,750","7,261",0.654179865,"2,359","1,592","1,348","1,079",601,222,54,6,"1,255","1,336","1,083","1,076"
서울특별시 성북구 월곡제1동,1129071500,"3,114","5,124",0.607728337,"1,767","1,199",994,730,329,84,16,5,747,749,808,810
서울특별시 성북구 월곡제2동,1129072500,"3,349","3,855",0.868741894,"1,291",908,707,572,265,89,21,2,"1,156",963,680,550
서울특별시 성북구 장위제1동,1129076000,"3,058","4,375",0.698971429,"1,616","1,051",768,593,253,80,12,2,660,867,771,760
서울특별시 성북구 장위제2동,1129077000,"1,766","3,255",0.542549923,"1,069",807,621,470,209,67,10,2,373,526,489,378
서울특별시 성북구 장위제3동,1129078000,"2,157","2,317",0.930945188,900,550,396,296,128,37,9,1,475,525,495,662
서울특별시 성북구 석관동,1129081000,"4,587","7,714",0.594633135,"2,589","1,847","1,508","1,137",477,117,33,6,"1,064","1,316","1,169","1,038"
서울특별시 강북구 ,1130500000,"36,495","68,473",0.532983804,"22,251","16,211","13,549","10,260","4,551","1,309",295,47,"9,152","10,777","9,041","7,525"
서울특별시 강북구 삼양동,1130553400,"2,557","5,175",0.49410628,"1,743","1,253","1,003",748,319,83,23,3,616,718,647,576
서울특별시 강북구 미아동,1130553500,"3,278","4,823",0.679659963,"1,603","1,147",899,733,339,83,17,2,983,"1,061",735,499
서울특별시 강북구 송중동,1130554500,"3,799","6,397",0.593872128,"2,235","1,565","1,203",865,394,110,25,0,897,"1,063",981,858
서울특별시 강북구 송천동,1130555500,"2,817","6,495",0.433718245,"2,191","1,547","1,276",918,418,114,24,7,641,839,739,598
서울특별시 강북구 삼각산동,1130557500,"3,351","4,936",0.678889789,"1,653","1,202",935,696,332,98,16,4,878,787,693,993
서울특별시 강북구 번1동,1130559500,"2,670","3,786",0.705229794,"1,210",899,788,567,243,57,19,3,657,850,694,469
서울특별시 강북구 번2동,1130560300,"1,645","4,235",0.388429752,"1,284","1,001",928,672,253,83,11,3,382,519,431,313
서울특별시 강북구 번3동,1130560800,"1,612","4,980",0.323694779,"1,285","1,186","1,213",874,297,97,23,5,392,436,448,336
서울특별시 강북구 수유1동,1130561500,"2,697","4,716",0.571882952,"1,572","1,123",905,674,312,106,22,2,637,863,672,525
서울특별시 강북구 수유2동,1130562500,"2,483","5,314",0.467256304,"1,680","1,236",991,845,411,121,27,3,671,737,592,483
서울특별시 강북구 수유3동,1130563500,"3,808","5,027",0.757509449,"1,699","1,162",980,743,337,87,15,4,"1,050","1,243",918,597
서울특별시 강북구 우이동,1130564500,"2,373","5,124",0.463114754,"1,630","1,150",989,829,370,113,38,5,603,631,616,523
서울특별시 강북구 인수동,1130566000,"3,405","7,465",0.4561286,"2,466","1,740","1,439","1,096",526,157,35,6,745,"1,030",875,755
서울특별시 도봉구 ,1132000000,"37,075","70,374",0.52682809,"24,841","16,221","12,743","9,926","4,651","1,571",363,58,"8,443","10,350","9,674","8,608"
서울특별시 도봉구 창제1동,1132051100,"3,010","5,107",0.589387116,"1,773","1,117",959,741,363,117,32,5,665,831,769,745
서울특별시 도봉구 창제2동,1132051200,"3,759","5,757",0.652944242,"1,959","1,388","1,063",807,393,125,19,3,773,"1,121",970,895
서울특별시 도봉구 창제3동,1132051300,"1,402","3,160",0.443670886,"1,057",738,626,497,180,54,4,4,326,387,392,297
서울특별시 도봉구 창제4동,1132051400,"3,444","4,801",0.717350552,"1,800","1,022",818,633,348,147,31,2,843,913,897,791
서울특별시 도봉구 창제5동,1132051500,"3,346","4,896",0.683415033,"1,816","1,135",809,646,342,114,28,6,739,903,935,769
서울특별시 도봉구 도봉제1동,1132052100,"1,985","6,170",0.32171799,"1,946","1,477","1,277",907,405,122,28,8,409,627,524,425
서울특별시 도봉구 도봉제2동,1132052200,"2,967","7,104",0.417652027,"2,468","1,703","1,319",961,455,152,40,6,562,759,837,809
서울특별시 도봉구 쌍문제1동,1132066000,"2,661","4,979",0.534444668,"1,662","1,107",935,798,347,97,31,2,795,710,614,542
서울특별시 도봉구 쌍문제2동,1132067000,"2,188","4,227",0.517624793,"1,511",951,755,562,298,114,33,3,481,609,590,508
서울특별시 도봉구 쌍문제3동,1132068000,"2,408","3,673",0.655594882,"1,217",857,725,555,242,61,11,5,508,752,662,486
서울특별시 도봉구 쌍문제4동,1132068100,"2,190","3,484",0.62858783,"1,417",773,501,467,221,87,18,0,501,573,583,533
서울특별시 도봉구 방학제1동,1132069000,"3,230","6,460",0.5,"2,302","1,546","1,199",906,361,107,33,6,808,964,790,668
서울특별시 도봉구 방학제2동,1132070000,"1,845","4,803",0.384134916,"1,651","1,108",883,757,284,99,19,2,434,541,448,422
서울특별시 도봉구 방학제3동,1132071000,"2,640","5,753",0.458891013,"2,262","1,299",874,689,412,175,36,6,599,660,663,718
서울특별시 노원구 ,1135000000,"63,132","96,309",0.655515061,"33,975","22,567","17,146","12,976","6,677","2,351",532,85,"16,511","16,199","15,979","14,443"
서울특별시 노원구 월계1동,1135056000,"2,580","4,452",0.579514825,"1,487","1,125",846,578,292,97,25,2,858,642,591,489
서울특별시 노원구 월계2동,1135057000,"2,758","6,316",0.436668778,"2,198","1,596","1,100",822,391,171,31,7,659,679,700,720
서울특별시 노원구 월계3동,1135058000,"3,698","6,628",0.557936029,"2,275","1,569","1,251",917,435,147,29,5,684,919,"1,073","1,022"
서울특별시 노원구 공릉1동,1135059500,"5,867","7,174",0.81781433,"2,634","1,812","1,243",901,395,151,35,3,"1,780","1,653","1,349","1,085"
서울특별시 노원구 공릉2동,1135060000,"6,252","6,260",0.998722045,"2,381","1,514","1,068",738,403,120,34,2,"2,032","1,472","1,384","1,364"
서울특별시 노원구 하계1동,1135061100,"3,402","4,904",0.693719413,"1,732","1,126",815,675,390,124,39,3,"1,239",880,718,565
서울특별시 노원구 하계2동,1135061200,"2,534","3,596",0.704671858,"1,229",784,670,486,302,104,21,0,620,620,665,629
서울특별시 노원구 중계본동,1135061900,"2,288","2,769",0.82629108,"1,064",576,449,385,206,68,19,2,835,610,422,421
서울특별시 노원구 중계1동,1135062100,"2,375","2,708",0.877031019,"1,039",577,448,368,195,68,11,2,817,529,429,600
서울특별시 노원구 중계4동,1135062400,"1,992","4,244",0.46936852,"1,263","1,001",906,607,321,116,27,3,549,547,465,431
서울특별시 노원구 중계2.3동,1135062500,"3,789","7,912",0.478892821,"2,466","1,798","1,544","1,211",623,220,42,8,918,936,"1,009",926
서울특별시 노원구 상계1동,1135063000,"4,465","7,916",0.564047499,"2,967","1,849","1,359","1,016",508,161,46,10,"1,015","1,259","1,164","1,027"
서울특별시 노원구 상계2동,1135064000,"2,424","3,751",0.646227673,"1,387",877,639,501,242,78,20,7,679,733,563,449
서울특별시 노원구 상계3.4동,1135066500,"2,807","6,589",0.426013052,"2,210","1,515","1,218","1,031",459,125,21,10,709,757,659,682
서울특별시 노원구 상계5동,1135067000,"2,594","5,465",0.474656908,"1,774","1,268","1,055",797,391,143,30,7,654,753,629,558
서울특별시 노원구 상계6.7동,1135069500,"4,514","5,496",0.8213246,"2,017","1,241",898,711,401,181,40,7,923,"1,181","1,286","1,124"
서울특별시 노원구 상계8동,1135070000,"3,582","3,217",1.113459745,"1,184",739,549,404,234,86,19,2,484,707,"1,355","1,036"
서울특별시 노원구 상계9동,1135071000,"2,497","3,875",0.644387097,"1,443",901,636,484,269,114,26,2,529,635,695,638
서울특별시 노원구 상계10동,1135072000,"2,714","3,037",0.893645044,"1,225",699,452,344,220,77,17,3,527,687,823,677
서울특별시 은평구 ,1138000000,"66,916","93,565",0.715181959,"31,678","22,049","17,786","13,352","6,393","1,851",399,57,"13,373","19,578","18,508","15,457"
서울특별시 은평구 녹번동,1138051000,"5,328","7,598",0.701237168,"2,488","1,822","1,452","1,122",512,157,42,3,926,"1,479","1,602","1,321"
서울특별시 은평구 불광제1동,1138052000,"5,104","8,312",0.614051973,"2,713","1,893","1,570","1,266",638,189,39,4,944,"1,511","1,413","1,236"
서울특별시 은평구 불광제2동,1138053000,"3,813","6,426",0.593370682,"2,124","1,542","1,240",961,419,113,23,4,780,"1,202","1,100",731
서울특별시 은평구 갈현제1동,1138055100,"2,056","3,173",0.647967223,"1,090",751,620,432,198,64,16,2,434,663,559,400
서울특별시 은평구 갈현제2동,1138055200,"3,829","5,467",0.700384123,"1,816","1,329","1,078",744,390,90,20,0,907,"1,150","1,002",770
서울특별시 은평구 구산동,1138056000,"4,147","6,641",0.624454148,"2,298","1,586","1,247",932,433,119,22,4,"1,002","1,250","1,057",838
서울특별시 은평구 대조동,1138057000,"5,519","5,337",1.034101555,"1,664","1,249","1,099",815,392,93,20,5,"1,062","1,998","1,547",912
서울특별시 은평구 응암제1동,1138058000,"5,123","5,650",0.906725664,"1,908","1,291","1,130",798,395,104,21,3,962,"1,424","1,448","1,289"
서울특별시 은평구 응암제2동,1138059000,"3,523","4,267",0.825638622,"1,508","1,000",790,570,287,96,12,4,572,684,997,"1,270"
서울특별시 은평구 응암제3동,1138060000,"3,224","5,972",0.539852646,"1,864","1,354","1,141",968,472,145,24,4,654,"1,024",875,671
서울특별시 은평구 역촌동,1138062500,"6,137","9,174",0.668955744,"3,047","2,258","1,761","1,331",580,163,28,6,"1,195","1,869","1,680","1,393"
서울특별시 은평구 신사제1동,1138063100,"3,660","5,515",0.663644606,"1,943","1,294","1,057",762,333,102,22,2,738,"1,059","1,023",840
서울특별시 은평구 신사제2동,1138063200,"2,437","4,079",0.597450355,"1,474",970,726,529,269,90,16,5,460,718,721,538
서울특별시 은평구 증산동,1138064000,"2,572","3,709",0.693448369,"1,341",846,703,507,233,52,24,3,525,705,740,602
서울특별시 은평구 수색동,1138065000,"3,106","3,079",1.008769081,"1,148",725,504,404,210,70,17,1,533,738,931,904
서울특별시 은평구 진관동,1138069000,"7,338","9,166",0.800567314,"3,252","2,139","1,668","1,211",632,204,53,7,"1,679","2,104","1,813","1,742"
서울특별시 서대문구 ,1141000000,"48,766","57,588",0.846808363,"18,849","12,887","10,789","8,817","4,474","1,416",294,62,"11,966","13,943","12,159","10,698"
서울특별시 서대문구 천연동,1141052000,"2,205","3,377",0.652946402,"1,054",723,621,555,306,98,18,2,473,532,610,590
서울특별시 서대문구 북아현동,1141055500,"2,551","2,391",1.066917608,834,535,418,341,192,56,14,1,460,626,736,729
서울특별시 서대문구 충현동,1141056500,"3,341","3,572",0.935330347,"1,246",774,632,498,278,117,20,7,588,"1,045",936,772
서울특별시 서대문구 신촌동,1141058500,"7,234","2,156",3.35528757,621,467,414,361,214,58,18,3,"2,766","2,609","1,258",601
서울특별시 서대문구 연희동,1141061500,"6,507","6,135",1.060635697,"1,876","1,347","1,181",998,499,185,41,8,"1,693","2,118","1,557","1,139"
서울특별시 서대문구 홍제제1동,1141062000,"3,494","5,020",0.696015936,"1,701","1,127",910,796,353,103,26,4,708,888,976,922
서울특별시 서대문구 홍제제3동,1141064000,"2,347","4,101",0.572299439,"1,315",886,781,666,347,86,17,3,506,614,648,579
서울특별시 서대문구 홍제제2동,1141065500,"1,762","2,879",0.612018062,940,644,555,444,212,66,13,5,371,447,486,458
서울특별시 서대문구 홍은제1동,1141066000,"2,806","4,806",0.583853516,"1,623","1,075",849,712,399,119,24,5,596,731,756,723
서울특별시 서대문구 홍은제2동,1141068500,"4,020","5,603",0.717472782,"1,909","1,221","1,029",809,455,142,30,8,"1,006","1,096","1,025",893
서울특별시 서대문구 남가좌제1동,1141069000,"2,096","2,336",0.897260274,794,530,413,351,179,59,10,0,397,434,501,764
서울특별시 서대문구 남가좌제2동,1141070000,"4,198","5,183",0.809955624,"1,640","1,217","1,018",790,374,114,23,7,"1,086","1,009",990,"1,113"
서울특별시 서대문구 북가좌제1동,1141071000,"2,101","3,210",0.654517134,"1,049",751,621,482,223,72,8,4,449,515,585,552
서울특별시 서대문구 북가좌제2동,1141072000,"4,104","6,819",0.601847778,"2,247","1,590","1,347","1,014",443,141,32,5,867,"1,279","1,095",863
서울특별시 마포구 ,1144000000,"66,719","57,504",1.160249722,"18,942","12,955","10,772","8,625","4,366","1,479",315,50,"13,124","19,934","18,369","15,292"
서울특별시 마포구 아현동,1144055500,"5,035","3,702",1.360075635,"1,373",805,596,515,292,97,20,4,718,"1,152","1,577","1,588"
서울특별시 마포구 공덕동,1144056500,"6,794","6,260",1.085303514,"2,091","1,369","1,171",929,515,140,41,4,"1,304","2,098","1,907","1,485"
서울특별시 마포구 도화동,1144058500,"3,199","3,906",0.818996416,"1,298",831,694,589,342,119,29,4,533,850,936,880
서울특별시 마포구 용강동,1144059000,"2,954","3,108",0.95045045,"1,018",676,565,463,254,105,25,2,462,631,884,977
서울특별시 마포구 대흥동,1144060000,"3,217","1,991",1.615770969,618,472,323,349,156,61,7,5,935,"1,076",724,482
서울특별시 마포구 염리동,1144061000,"2,735","2,142",1.276844071,695,458,416,355,162,53,3,0,564,757,712,702
서울특별시 마포구 신수동,1144063000,"3,317","3,495",0.9490701,"1,185",758,659,531,260,80,17,5,699,892,862,864
서울특별시 마포구 서강동,1144065500,"4,636","3,436",1.349243306,"1,126",784,627,527,258,95,17,2,"1,150","1,357","1,072","1,057"
서울특별시 마포구 서교동,1144066000,"6,198","3,389",1.82885807,992,779,679,500,296,116,27,0,"1,299","2,083","1,684","1,132"
서울특별시 마포구 합정동,1144068000,"3,582","2,677",1.338064998,871,595,520,395,201,73,19,3,554,"1,151","1,086",791
서울특별시 마포구 망원제1동,1144069000,"3,583","3,520",1.017897727,"1,144",813,714,514,246,73,16,0,550,"1,139","1,086",808
서울특별시 마포구 망원제2동,1144070000,"2,952","3,326",0.887552616,"1,085",789,651,510,211,60,17,3,560,869,838,685
서울특별시 마포구 연남동,1144071000,"3,051","2,389",1.277103391,775,519,441,368,200,66,14,6,569,"1,002",855,625
서울특별시 마포구 성산제1동,1144072000,"3,308","3,137",1.054510679,"1,047",713,621,476,215,53,9,3,619,995,980,714
서울특별시 마포구 성산제2동,1144073000,"7,863","6,613",1.189021624,"2,108","1,533","1,309","1,013",435,176,32,7,"1,549","2,548","2,210","1,556"
서울특별시 마포구 상암동,1144074000,"4,295","4,413",0.97326082,"1,516","1,061",786,591,323,112,22,2,"1,059","1,334",956,946
서울특별시 양천구 ,1147000000,"52,805","76,126",0.693652629,"28,804","19,142","13,269","8,673","4,212","1,611",350,65,"11,862","14,250","13,565","13,128"
서울특별시 양천구 목1동,1147051000,"3,086","3,664",0.842248908,"1,434",894,642,421,185,69,16,3,853,664,627,942
서울특별시 양천구 목2동,1147052000,"4,783","4,647",1.029266193,"1,880","1,114",786,512,241,96,15,3,845,"1,398","1,505","1,035"
서울특별시 양천구 목3동,1147053000,"3,549","3,791",0.9361646,"1,460",913,657,410,240,92,16,3,578,"1,029","1,107",835
서울특별시 양천구 목4동,1147054000,"3,094","3,560",0.869101124,"1,247",896,690,418,218,74,16,1,831,946,737,580
서울특별시 양천구 목5동,1147055000,"3,838","5,300",0.724150943,"2,205","1,304",858,447,294,151,37,4,"1,045",898,785,"1,110"
서울특별시 양천구 신월1동,1147056000,"2,211","4,624",0.478157439,"1,738","1,191",853,542,200,68,28,4,430,691,583,507
서울특별시 양천구 신월2동,1147057000,"2,554","4,380",0.583105023,"1,672","1,167",774,456,211,75,22,3,520,671,671,692
서울특별시 양천구 신월3동,1147058000,"1,653","3,266",0.506123699,"1,202",846,558,416,193,42,8,1,318,479,496,360
서울특별시 양천구 신월4동,1147059000,"1,936","3,699",0.523384699,"1,383",941,648,435,195,76,14,7,406,499,503,528
서울특별시 양천구 신월5동,1147060000,"1,790","2,749",0.651145871,"1,048",671,485,345,139,51,7,3,368,546,452,424
서울특별시 양천구 신월6동,1147061000,"1,869","2,162",0.864477336,894,538,366,224,99,30,6,5,339,370,487,673
서울특별시 양천구 신월7동,1147061100,"2,211","4,656",0.474871134,"1,692","1,138",799,606,300,101,19,1,416,622,646,527
서울특별시 양천구 신정1동,1147062000,"1,959","2,964",0.660931174,"1,103",751,496,327,182,81,21,3,504,503,425,527
서울특별시 양천구 신정2동,1147063000,"1,863","2,922",0.637577002,"1,106",714,497,350,160,79,12,4,563,473,400,427
서울특별시 양천구 신정3동,1147064000,"5,963","8,533",0.69881636,"3,161","2,156","1,501","1,003",473,195,36,8,"1,482","1,461","1,534","1,486"
서울특별시 양천구 신정4동,1147065000,"4,914","6,417",0.765778401,"2,263","1,702","1,220",789,317,104,20,2,995,"1,636","1,328",955
서울특별시 양천구 신정6동,1147067000,"2,607","3,232",0.806621287,"1,333",845,486,283,182,78,22,3,670,625,568,744
서울특별시 양천구 신정7동,1147068000,"2,925","5,560",0.526079137,"1,983","1,361",953,689,383,149,35,7,699,739,711,776
서울특별시 강서구 ,1150000000,"91,822","101,808",0.901913406,"37,545","25,456","18,150","11,944","5,909","2,179",543,82,"15,765","27,599","27,411","21,047"
서울특별시 강서구 염창동,1150051000,"6,864","4,906",1.399103139,"1,957","1,273",773,552,245,86,19,1,"1,110","1,785","2,106","1,863"
서울특별시 강서구 등촌제1동,1150052000,"6,418","3,244",1.978421702,"1,093",697,548,419,307,139,31,10,783,"2,067","2,147","1,421"
서울특별시 강서구 등촌제2동,1150053000,"3,030","3,537",0.856658185,"1,336",953,601,366,192,71,17,1,504,878,939,709
서울특별시 강서구 등촌제3동,1150053500,"3,899","7,494",0.520282893,"2,671","1,706","1,246",935,613,249,67,7,655,966,"1,267","1,011"
서울특별시 강서구 화곡제1동,1150054000,"9,743","9,146",1.065274437,"3,365","2,381","1,741","1,019",443,157,34,6,"1,525","3,461","2,868","1,889"
서울특별시 강서구 화곡제2동,1150055000,"2,408","3,167",0.760341017,"1,186",817,595,361,152,40,15,1,483,714,662,549
서울특별시 강서구 화곡제3동,1150056000,"3,218","4,522",0.711632021,"1,707","1,171",810,518,209,88,16,3,599,"1,039",889,691
서울특별시 강서구 화곡제4동,1150057000,"2,616","4,223",0.619464835,"1,525","1,077",789,504,230,83,15,0,473,752,748,643
서울특별시 강서구 화곡본동,1150059000,"5,903","5,416",1.089918759,"2,067","1,354","1,000",600,273,95,19,8,994,"2,028","1,721","1,160"
서울특별시 강서구 화곡제6동,1150059100,"5,060","4,412",1.146872167,"1,746","1,146",722,470,223,82,20,3,776,"1,684","1,548","1,052"
서울특별시 강서구 화곡제8동,1150059300,"3,649","4,748",0.76853412,"1,684","1,239",933,584,228,61,15,4,670,"1,181","1,082",716
서울특별시 강서구 가양제1동,1150060300,"9,953","3,540",2.811581921,"1,554",804,520,367,209,59,21,6,"1,509","3,717","3,094","1,633"
서울특별시 강서구 가양제2동,1150060400,"1,856","4,569",0.406215802,"1,639","1,113",772,579,316,119,29,2,223,514,649,470
서울특별시 강서구 가양제3동,1150060500,"2,187","3,945",0.554372624,"1,351","1,004",716,534,236,78,25,1,238,444,863,642
서울특별시 강서구 발산제1동,1150061100,"4,149","5,455",0.760586618,"1,906","1,335","1,065",661,318,134,30,6,"1,144","1,022",987,996
서울특별시 강서구 우장산동,1150061500,"5,522","6,580",0.839209726,"2,454","1,808","1,197",719,269,106,22,5,"1,433","1,392","1,288","1,409"
서울특별시 강서구 공항동,1150062000,"4,110","4,513",0.910702415,"1,670","1,072",827,558,251,103,30,2,705,"1,072","1,144","1,189"
서울특별시 강서구 방화제1동,1150063000,"5,285","7,375",0.716610169,"2,817","1,849","1,295",803,420,144,41,6,992,"1,290","1,502","1,501"
서울특별시 강서구 방화제2동,1150064000,"3,351","5,218",0.642200077,"1,842","1,239",959,673,347,120,34,4,564,"1,024","1,007",756
서울특별시 강서구 방화제3동,1150064100,"2,601","5,798",0.448602967,"1,975","1,418","1,041",722,428,165,43,6,385,569,900,747
서울특별시 구로구 ,1153000000,"56,316","78,377",0.718527119,"27,579","19,805","14,752","9,921","4,562","1,384",325,49,"10,380","15,964","16,333","13,639"
서울특별시 구로구 신도림동,1153051000,"5,388","5,276",1.021228203,"1,983","1,385",925,568,303,79,30,3,970,"1,293","1,541","1,584"
서울특별시 구로구 구로제1동,1153052000,"3,043","3,111",0.978142077,"1,393",733,474,278,158,57,16,2,508,760,950,825
서울특별시 구로구 구로제2동,1153053000,"2,598","5,887",0.441311364,"1,920","1,399","1,205",888,349,100,23,3,560,857,695,486
서울특별시 구로구 구로제3동,1153054000,"4,217","3,724",1.132384533,"1,250",972,705,469,249,65,13,1,747,"1,469","1,132",869
서울특별시 구로구 구로제4동,1153055000,"2,647","4,753",0.556911424,"1,453","1,193",950,721,345,79,11,1,498,816,789,544
서울특별시 구로구 구로제5동,1153056000,"5,569","5,125",1.086634146,"1,747","1,278","1,006",669,307,93,24,1,968,"1,826","1,588","1,187"
서울특별시 구로구 가리봉동,1153059500,"1,314","2,003",0.656015976,735,486,366,219,148,37,11,1,235,559,330,190
서울특별시 구로구 고척제1동,1153072000,"4,148","4,852",0.854905194,"1,796","1,232",890,577,238,95,20,4,713,939,"1,417","1,079"
서울특별시 구로구 고척제2동,1153073000,"2,999","5,776",0.519217452,"1,971","1,427","1,087",770,400,92,24,5,670,860,791,678
서울특별시 구로구 개봉제1동,1153074000,"4,397","7,053",0.623422657,"2,498","1,818","1,303",902,371,130,21,10,781,"1,171","1,343","1,102"
