행정구역,행정구역코드,여성출산적령기_20_39세,노인기준_65세_이상,소멸지수,2023년_계_65~69세,2023년_계_70~74세,2023년_계_75~79세,2023년_계_80~84세,2023년_계_85~89세,2023년_계_90~94세,2023년_계_95~99세,2023년_계_100세 이상,2023년_여_20~24세,2023년_여_25~29세,2023년_여_30~34세,2023년_여_35~39세
경상북도 청송군 현동면,4775033000,88,873,0.100801833,217,212,140,158,108,31,6,1,24,19,17,28
경상북도 청송군 현서면,4775034000,74,"1,151",0.06429192,361,274,187,179,107,35,8,0,18,19,13,24
경상북도 청송군 안덕면,4775035000,69,"1,240",0.055645161,347,264,221,229,127,40,11,1,12,18,14,25
경상북도 청송군 파천면,4775036000,62,865,0.071676301,223,196,136,171,96,34,9,0,12,22,14,14
경상북도 청송군 진보면,4775037000,355,"2,271",0.156318802,612,560,401,396,226,62,14,0,92,88,85,90
경상북도 영양군 ,4776000000,764,"6,486",0.117792168,"1,764","1,383","1,088","1,259",696,223,60,13,184,187,188,205
경상북도 영양군 영양읍,4776025000,499,"2,210",0.225791855,644,486,363,407,206,75,26,3,118,121,119,141
경상북도 영양군 입암면,4776031000,61,967,0.063081696,237,217,186,177,100,41,8,1,12,16,11,22
경상북도 영양군 청기면,4776032000,34,864,0.039351852,227,166,149,181,103,24,10,4,9,12,8,5
경상북도 영양군 일월면,4776033000,52,809,0.064276885,215,163,126,171,95,34,4,1,16,13,16,7
경상북도 영양군 수비면,4776034000,48,733,0.065484311,200,150,120,140,88,27,7,1,11,10,13,14
경상북도 영양군 석보면,4776035000,70,903,0.07751938,241,201,144,183,104,22,5,3,18,15,21,16
경상북도 영덕군 ,4777000000,"1,742","14,211",0.122581099,"3,687","3,122","2,435","2,778","1,545",524,105,15,377,438,426,501
경상북도 영덕군 영덕읍,4777025000,765,"3,040",0.251644737,900,679,509,557,273,94,25,3,152,194,193,226
경상북도 영덕군 강구면,4777031000,283,"2,438",0.116078753,686,573,418,471,214,63,12,1,62,63,70,88
경상북도 영덕군 남정면,4777032000,86,"1,180",0.072881356,295,267,189,219,151,47,9,3,16,27,17,26
경상북도 영덕군 달산면,4777033000,31,597,0.051926298,136,117,98,117,84,38,7,0,10,4,8,9
경상북도 영덕군 지품면,4777034000,43,737,0.05834464,188,157,125,154,86,22,5,0,9,10,13,11
경상북도 영덕군 지품면원전출장소,4777034500,11,309,0.035598706,78,64,57,61,35,11,2,1,2,3,3,3
경상북도 영덕군 축산면,4777035000,28,455,0.061538462,102,85,78,112,57,15,6,0,5,7,9,7
경상북도 영덕군 축산면축산출장소,4777035500,51,770,0.066233766,178,200,146,145,78,19,3,1,13,7,17,14
경상북도 영덕군 영해면,4777036000,324,"2,411",0.134384073,620,519,409,453,275,110,22,3,76,94,72,82
경상북도 영덕군 병곡면,4777037000,93,"1,363",0.068231842,287,299,237,277,183,68,11,1,26,24,16,27
경상북도 영덕군 창수면,4777038000,27,911,0.029637761,217,162,169,212,109,37,3,2,6,5,8,8
경상북도 청도군 ,4782000000,"1,990","17,342",0.114750317,"4,895","4,284","2,752","2,761","1,821",684,128,17,461,490,501,538
경상북도 청도군 화양읍,4782025000,488,"2,118",0.230406043,635,525,331,324,195,85,22,1,123,114,108,143
경상북도 청도군 화양읍남성현출장소,4782025100,38,525,0.072380952,138,113,90,95,65,20,3,1,5,13,8,12
경상북도 청도군 청도읍,4782025300,600,"3,485",0.172166428,"1,056",903,547,501,333,118,21,6,143,148,144,165
경상북도 청도군 청도읍유호출장소,4782025400,44,775,0.056774194,204,216,124,130,66,31,4,0,8,13,16,7
경상북도 청도군 각남면,4782031000,82,"1,078",0.07606679,274,243,188,185,119,53,16,0,17,19,24,22
경상북도 청도군 풍각면,4782032000,157,"1,712",0.091705607,515,386,279,262,181,84,3,2,27,33,48,49
경상북도 청도군 각북면,4782033000,91,"1,111",0.081908191,321,269,168,186,125,36,6,0,20,21,32,18
경상북도 청도군 이서면,4782034000,208,"1,987",0.104680423,530,540,314,299,210,72,20,2,53,49,48,58
경상북도 청도군 운문면,4782035000,64,976,0.06557377,282,212,136,187,105,43,8,3,11,18,20,15
경상북도 청도군 금천면,4782036000,94,"1,646",0.057108141,421,408,281,275,182,65,13,1,22,28,23,21
경상북도 청도군 매전면,4782037000,124,"1,929",0.064282011,519,469,294,317,240,77,12,1,32,34,30,28
경상북도 고령군 ,4783000000,"1,693","10,862",0.155864482,"3,204","2,569","1,794","1,765","1,093",357,72,8,421,442,408,422
경상북도 고령군 대가야읍,4783025300,656,"2,777",0.236226143,831,689,471,441,254,74,15,2,156,174,155,171
경상북도 고령군 덕곡면,4783031000,56,724,0.077348066,212,151,101,123,100,27,9,1,12,17,12,15
경상북도 고령군 운수면,4783032000,82,860,0.095348837,243,185,127,173,92,32,7,1,13,20,28,21
경상북도 고령군 성산면,4783033000,112,"1,023",0.109481916,319,243,167,152,98,42,2,0,20,26,41,25
경상북도 고령군 다산면,4783034000,541,"2,308",0.23440208,761,573,394,337,189,43,10,1,158,140,119,124
경상북도 고령군 개진면,4783035000,64,848,0.075471698,236,199,151,132,80,41,9,0,13,16,15,20
경상북도 고령군 우곡면,4783036000,49,784,0.0625,187,185,133,145,101,27,6,0,13,11,12,13
경상북도 고령군 쌍림면,4783037000,133,"1,538",0.086475943,415,344,250,262,179,71,14,3,36,38,26,33
경상북도 성주군 ,4784000000,"2,283","15,405",0.148198637,"4,702","3,851","2,527","2,270","1,414",511,116,14,461,551,613,658
경상북도 성주군 성주읍,4784025000,"1,095","3,237",0.338276182,"1,024",802,563,442,270,98,34,4,243,275,273,304
경상북도 성주군 선남면,4784031000,282,"2,256",0.125,703,607,359,327,183,61,12,4,43,58,86,95
